precio_producto,costo_envio,categoria_producto,peso_producto,fotos_producto,ciudad_vendedor,estado_vendedor,estado_cliente,puntuacion_satisfaccion,comentario,dias_entrega,diferencia_estimado_real,mes_compra,anio_compra,dia_semana_compra,hora_compra,estado_orden
129.99,57.58,bebes,14950.0,1.0,itatiba,SP,SC,4,,18.400798611342907,25.269004629459232,1,2018,1,7,delivered
89.9,14.21,papelaria,600.0,1.0,tabatinga,SP,SP,5,Sempre vou comprar aqui pois é a melhor parabéns ,4.277627314906567,3.2330208332277834,8,2018,4,11,delivered
109.9,15.53,cool_stuff,500.0,2.0,santo andre,SP,RJ,2,Demora muito entregar. Já passou o prazo e ainda não recebi minha encomenda.,28.928483796305954,-9.91937500005588,2,2018,2,23,delivered
39.5,48.64,bebes,350.0,1.0,ibitinga,SP,BA,1,"Até o momento não recebi o produto Protetor De Colchão Para Berço - Algodão Impermeável, já fiz a reclamação desde o dia 18/06 e ainda não obtive retorno. Irei cancelar o pedido e estornar a compra hj",12.639374999795109,31.36047453712672,6,2018,1,0,delivered
90.9,48.64,bebes,10950.0,1.0,tabatinga,SP,BA,1,"Até o momento não recebi o produto Protetor De Colchão Para Berço - Algodão Impermeável, já fiz a reclamação desde o dia 18/06 e ainda não obtive retorno. Irei cancelar o pedido e estornar a compra hj",12.639374999795109,31.36047453712672,6,2018,1,0,delivered
47.9,12.79,perfumaria,200.0,4.0,mococa,SP,SP,5,"Lindos. 
Acabamento incrivel, muiro macios e super em conta.",9.535694444552064,6.387615740764886,3,2018,1,1,delivered
178.99,13.69,relogios_presentes,292.0,2.0,ribeirao preto,SP,SP,4,,14.38247685180977,6.127499999944121,5,2018,3,11,delivered
30.1,33.24,ferramentas_jardim,850.0,2.0,curitiba,PR,RR,4,,30.401898148003966,16.02136574080214,2,2018,0,13,delivered
279.0,34.19,bebes,16450.0,1.0,santa barbara d´oeste,SP,SP,2,O produto veio faltando a base para auto e como eu fiz o pedido por telefone justamente para confirmar se a base demonstrada pela foto acompanhava o produto e tbm constava na descrição do item.,8.103807870298624,4.397199074272066,8,2017,4,11,delivered
186.9,38.0,climatizacao,100.0,4.0,praia grande,SP,PE,1,"Foi entregue um produto divergente do que eu havia comprado, além de não vir com todos os acessórios constantes na descrição do anuncio. Solicito providências urgentes.",18.6339699071832,9.48016203707084,4,2018,1,21,delivered
49.0,14.1,moveis_decoracao,3000.0,2.0,curitiba,PR,SP,4,,22.171898148022592,4.247500000055879,12,2017,2,13,delivered
84.9,15.35,brinquedos,800.0,5.0,sao paulo,SP,RJ,5,Ficou tudo ok só pensei q fosse maior mas.ta bom,18.478437500074506,12.994502314832062,2,2018,6,12,delivered
179.0,9.41,perfumaria,425.0,1.0,campinas,SP,SP,5,,1.9680439811199903,5.049421296454966,7,2018,0,23,delivered
78.0,28.95,ferramentas_jardim,850.0,6.0,sao paulo,SP,TO,5,"há muito tempo efetuo compras atraves desta loja, nunca tive problemas. sempre entrega antes da data.",30.37475694483146,-0.0412615742534399,2,2018,6,15,delivered
39.9,26.89,eletronicos,1207.0,6.0,sao paulo,SP,CE,4,bom pode comprar,20.23855324089527,15.000891203526407,2,2018,3,18,delivered
27.9,15.1,informatica_acessorios,200.0,2.0,belo horizonte,MG,SP,5,,7.991331018507481,13.107858796138316,7,2017,1,21,delivered
445.0,63.17,beleza_saude,683.0,1.0,campo mourao,PR,PE,5,"Produto veio bem lacrado, todo original.",17.381701388861984,28.10217592585832,6,2018,5,12,delivered
36.9,12.79,cama_mesa_banho,700.0,1.0,ibitinga,SP,SP,3,,10.207638889085501,6.075486110989004,3,2018,1,17,delivered
119.99,34.2,ferramentas_jardim,6050.0,1.0,ilicinea,MG,RJ,5,Quero o cartão de crédito das Lojas lannister! Minha satisfação é Plena! ,11.795208333525807,11.417523148003966,5,2017,5,18,delivered
339.0,17.12,utilidades_domesticas,14300.0,6.0,rio do sul,SC,SP,1,"Inicialmente, na data da compra o produto era para ser entregue até 21/12. Hoje é dia 27/12 e não chegou ainda. ",33.89693287014961,-7.7912384257651865,11,2017,5,21,delivered
69.9,25.77,esporte_lazer,281.0,5.0,joinville,SC,DF,5,,7.873622685205191,19.41064814804122,8,2017,5,17,delivered
99.0,22.62,papelaria,450.0,3.0,rio claro,SP,BA,4,,9.006388888694346,30.017569444607943,8,2018,6,23,delivered
139.0,14.72,ferramentas_jardim,8875.0,4.0,cariacica,ES,RJ,1,A cuba veio quebrada. Como efetuo barroca?,10.952465277630836,10.46712962957099,5,2017,4,13,delivered
36.9,17.92,esporte_lazer,650.0,1.0,salto,SP,BA,4,,10.532013888470829,17.614918981678784,5,2017,0,20,delivered
69.9,12.43,moveis_decoracao,2600.0,6.0,sao paulo,SP,SP,5,,3.9326388887129724,3.3595949076116085,5,2018,4,16,delivered
33.9,18.34,esporte_lazer,1150.0,2.0,santo andre/sao paulo,SP,RS,5,Prazo de entrega excelente e produto cuidadosamente embalado! Recomendo!,4.44784722244367,10.076956018339843,7,2018,0,11,delivered
115.0,15.56,livros_interesse_geral,450.0,1.0,rio do sul,SC,SP,5,,6.873368055559695,14.280046296305954,8,2017,3,20,delivered
39.47,13.37,construcao_ferramentas_construcao,1700.0,2.0,capivari,SP,SP,5,,12.985879629850388,8.429178240709007,2,2018,4,14,delivered
53.44,18.47,eletroportateis,410.0,6.0,bento goncalves,RS,PR,5,,7.204791666474193,16.223773148376495,6,2018,2,13,delivered
60.0,15.52,esporte_lazer,100.0,2.0,sao bernardo do campo,SP,RS,1,"Recebi apenas 1 unidade solicitada, deveriam ser 2, inclusive foi cobrado e consta na nota fiscal. Estou tentando contato com a loja a 4 dias. Informam que vão me mandar por email o contato do fornece",5.324259259272367,15.064641203731298,7,2018,4,14,delivered
60.0,15.52,esporte_lazer,100.0,2.0,sao bernardo do campo,SP,RS,1,"Recebi apenas 1 unidade solicitada, deveriam ser 2, inclusive foi cobrado e consta na nota fiscal. Estou tentando contato com a loja a 4 dias. Informam que vão me mandar por email o contato do fornece",5.324259259272367,15.064641203731298,7,2018,4,14,delivered
369.0,17.33,relogios_presentes,394.0,2.0,pradopolis,SP,RJ,4,"Inicialmente, pedi o cancelamento do pedido devido a falta de atualização com o produto, hoje sei que é erro do APLICATIVO e não do vendedor.",19.627337962854654,12.36837962968275,12,2017,5,0,delivered
38.4,11.85,moveis_decoracao,950.0,1.0,sao paulo,SP,SP,5,Potente e grande. ,4.53091435180977,15.125057870522141,8,2017,4,8,delivered
119.9,8.78,perfumaria,400.0,1.0,sao goncalo,RJ,RJ,5,Entrega antes da data marcada. Excelente,7.587048611138016,26.978321759030223,6,2018,1,10,delivered
29.99,13.47,eletroportateis,350.0,3.0,apucarana,PR,SP,5,,3.5514120371080935,20.10253472207114,6,2018,1,8,delivered
22.99,22.85,telefonia,150.0,1.0,sao paulo,SP,SE,1,"Pedir 2 capinhas,estou pagando as duas e só veio uma.Entao não estou nada satisfeita e espero que seja reparado esse erro.",24.943414351902902,-1.5616435185074806,3,2018,5,14,delivered
22.99,22.85,telefonia,150.0,1.0,sao paulo,SP,SE,1,"Pedir 2 capinhas,estou pagando as duas e só veio uma.Entao não estou nada satisfeita e espero que seja reparado esse erro.",24.943414351902902,-1.5616435185074806,3,2018,5,14,delivered
84.9,14.36,moveis_decoracao,1200.0,3.0,ibitinga,SP,SP,1,Não recebi,23.80740740755573,-7.567546296399087,3,2017,1,18,delivered
113.0,28.15,esporte_lazer,5950.0,4.0,pinhais,PR,SP,5,,5.90280092600733,16.214259259402752,6,2017,2,21,delivered
79.9,11.76,cama_mesa_banho,949.0,6.0,sao paulo,SP,SP,4,,4.935011574067175,12.14675925904885,11,2017,4,22,delivered
39.9,13.76,esporte_lazer,450.0,2.0,goiania,GO,DF,5,,5.226296296343207,4.2252314812503755,8,2018,0,13,delivered
299.0,18.34,esporte_lazer,1813.0,1.0,sao paulo,SP,RJ,5,,7.464884259272367,12.05478009255603,11,2017,3,11,delivered
27.9,15.1,alimentos,150.0,1.0,atibaia,SP,MG,4,,18.07726851850748,3.067766203545034,2,2018,1,20,delivered
119.0,24.97,informatica_acessorios,6550.0,1.0,ilicinea,MG,MG,4,"Somente a Mala Pequena Bordo Avião 360º Viagem Seanite Preta 12771 foi entregue.
O Auto Transformador Automático Bivolt 5000va Até 12.000 Btus ainda não foi entregue.",2.447048611007631,20.186134259216487,4,2018,0,8,delivered
199.0,3.12,malas_acessorios,12450.0,3.0,belo horizonte,MG,MG,4,"Somente a Mala Pequena Bordo Avião 360º Viagem Seanite Preta 12771 foi entregue.
O Auto Transformador Automático Bivolt 5000va Até 12.000 Btus ainda não foi entregue.",2.447048611007631,20.186134259216487,4,2018,0,8,delivered
329.9,82.48,construcao_ferramentas_construcao,10000.0,1.0,curitiba,PR,BA,3,"Pensei que a cinta seria mais larga.
É muito estreita para cargas pesadas",9.945567129645497,27.14825231488794,1,2018,0,21,delivered
329.9,82.48,construcao_ferramentas_construcao,10000.0,1.0,curitiba,PR,BA,3,"Pensei que a cinta seria mais larga.
É muito estreita para cargas pesadas",9.945567129645497,27.14825231488794,1,2018,0,21,delivered
24.89,15.1,telefonia,125.0,1.0,brasilia,DF,MG,4,Agora é testar para avaliar se é de qualidade. Mas até agora tudo certo.,10.365381944458932,19.07421296276152,2,2018,6,13,delivered
84.9,13.25,automotivo,150.0,1.0,bauru,SP,SP,5,,4.219768518116325,20.11190972244367,6,2018,1,16,delivered
84.9,13.25,automotivo,150.0,1.0,bauru,SP,SP,5,,4.219768518116325,20.11190972244367,6,2018,1,16,delivered
84.9,13.25,automotivo,150.0,1.0,bauru,SP,SP,5,,4.219768518116325,20.11190972244367,6,2018,1,16,delivered
84.9,13.25,automotivo,150.0,1.0,bauru,SP,SP,5,,4.219768518116325,20.11190972244367,6,2018,1,16,delivered
42.99,12.03,construcao_ferramentas_construcao,1200.0,3.0,capivari,SP,SP,5,,5.364641203545034,7.060601851902902,6,2018,3,13,delivered
27.9,18.3,alimentos,150.0,1.0,atibaia,SP,SC,3,Passei e-mail solicitando suporte para fazer o produto funciona,9.338877314701676,8.304652777966112,7,2018,0,8,delivered
50.0,9.34,bebes,500.0,1.0,itatiba,SP,SP,5,,3.0506597221828997,8.347129629459232,9,2017,3,14,delivered
190.0,19.41,climatizacao,7350.0,4.0,ribeirao preto,SP,SP,5,,6.498240740504116,18.137673611287028,4,2018,5,8,delivered
42.9,14.1,cool_stuff,250.0,4.0,rio de janeiro,RJ,SP,4,O produto é uma ótima decoração para deixar o ambiente lindo. ,9.362800925970078,10.19726851861924,2,2018,4,10,delivered
69.9,14.66,beleza_saude,500.0,2.0,rio de janeiro,RJ,MG,5, produto otimo,17.112719907425344,11.39724537031725,2,2017,1,11,delivered
38.0,15.56,utilidades_domesticas,705.0,3.0,sao paulo,SP,PR,1,,19.668159722350538,1.612557870335877,4,2017,4,17,delivered
38.0,15.56,utilidades_domesticas,705.0,3.0,sao paulo,SP,PR,1,,19.668159722350538,1.612557870335877,4,2017,4,17,delivered
38.0,15.56,utilidades_domesticas,705.0,3.0,sao paulo,SP,PR,1,,19.668159722350538,1.612557870335877,4,2017,4,17,delivered
38.0,15.56,utilidades_domesticas,705.0,3.0,sao paulo,SP,PR,1,,19.668159722350538,1.612557870335877,4,2017,4,17,delivered
38.0,15.56,utilidades_domesticas,705.0,3.0,sao paulo,SP,PR,1,,19.668159722350538,1.612557870335877,4,2017,4,17,delivered
56.99,15.84,perfumaria,400.0,2.0,santo andre,SP,MT,5,,10.45486111100763,15.156388889066875,9,2017,5,9,delivered
56.99,15.84,perfumaria,400.0,2.0,santo andre,SP,MT,5,,10.45486111100763,15.156388889066875,9,2017,5,9,delivered
24.99,12.84,automotivo,300.0,6.0,sao paulo,SP,SP,5,,9.077673611231148,1.218912037089467,7,2018,6,16,delivered
219.0,15.28,relogios_presentes,600.0,3.0,colombo,PR,RS,1,Muito bom o produto e preço cobrado!,6.989664352033287,14.237569444347173,8,2017,3,18,delivered
93.0,7.91,relogios_presentes,350.0,3.0,sao paulo,SP,SP,4,,2.60855324100703,0.47160879615694284,8,2018,0,22,delivered
93.0,7.91,relogios_presentes,350.0,3.0,sao paulo,SP,SP,4,,2.60855324100703,0.47160879615694284,8,2018,0,22,delivered
19.99,7.78,beleza_saude,100.0,1.0,santo andre,SP,SP,3,Tudo em ordem.,2.47287037037313,14.397557870484889,7,2017,0,3,delivered
45.0,14.1,telefonia,100.0,2.0,santana de parnaiba,SP,DF,5,,18.81591435195878,9.171851851977408,12,2017,5,0,delivered
58.2,8.78,beleza_saude,83.0,1.0,belo horizonte,MG,MG,5,,4.577858796343207,15.47805555537343,4,2017,4,22,delivered
110.99,21.27,cama_mesa_banho,1750.0,1.0,ibitinga,SP,RS,3,,8.68999999994412,13.442650462966412,5,2017,2,20,delivered
38.5,24.84,cama_mesa_banho,950.0,1.0,ibitinga,SP,PB,4,,20.68405092600733,13.45293981488794,4,2017,4,20,delivered
179.99,51.13,moveis_escritorio,7417.0,1.0,itaquaquecetuba,SP,BA,2,,23.26983796292916,12.10736111132428,10,2017,1,14,delivered
544.0,30.36,esporte_lazer,10600.0,1.0,sao paulo,SP,SP,5,,11.375601851847023,14.219733796082437,12,2017,5,9,delivered
14.82,15.1,cama_mesa_banho,400.0,2.0,ibitinga,SP,SC,5,,13.157245370559394,12.138935185037553,8,2017,6,16,delivered
394.9,14.89,informatica_acessorios,813.0,1.0,maringa,PR,SP,4,,17.085636573843658,12.375682870391756,2,2018,2,12,delivered
49.9,12.79,fashion_underwear_e_moda_praia,450.0,1.0,franca,SP,SP,5,,10.124351852107793,14.32644675904885,5,2018,5,13,delivered
89.18,16.38,moveis_decoracao,750.0,7.0,sao paulo,SP,MG,5,,24.03186342585832,3.1609375001862645,1,2018,1,19,delivered
29.99,7.39,telefonia,150.0,5.0,campinas,SP,SP,4,O produto veio em perfeitas condições e chegou antes do prazo. Parabéns pelo atendimento. ,3.2429282404482365,11.41497685201466,5,2018,2,8,delivered
58.99,17.66,beleza_saude,200.0,2.0,santo andre,SP,PR,5,,20.851828703656793,2.219525462947786,9,2017,2,22,delivered
98.44,22.4,informatica_acessorios,200.0,1.0,maringa,PR,MG,1,"Os outros produtos, a loja ofereceu mas não cumpriu com a entrega.",16.029293981846422,23.03145833313465,4,2018,3,22,delivered
219.9,18.79,relogios_presentes,342.0,1.0,guariba,SP,SC,4,,19.77008101856336,12.240254629403353,12,2017,3,23,delivered
759.0,13.08,telefonia,475.0,3.0,sao paulo,SP,SP,5,"Tudo conforme o combinado!! Entrega antes do prazo, ficamos felizes e satisfeitos! Parabéns!
",7.773692129645497,6.251793981529772,4,2018,0,23,delivered
65.9,37.37,esporte_lazer,500.0,2.0,sao paulo,SP,CE,5,,13.659745370503515,9.965497685130686,8,2018,5,8,delivered
10.9,12.79,moveis_decoracao,200.0,3.0,porto ferreira,SP,SP,5,Recebi 22 dias antes do prazo,4.259085648227483,20.382893518544734,5,2018,1,8,delivered
83.9,17.84,moveis_decoracao,1500.0,1.0,ibitinga,SP,RJ,1,,36.340717592742294,-17.82152777770534,11,2017,3,11,delivered
17.9,10.96,cama_mesa_banho,300.0,1.0,ibitinga,SP,SP,5,,10.798136574216187,15.87509259255603,3,2017,4,7,delivered
99.2,18.57,bebes,375.0,1.0,osasco,SP,PR,5,,13.143287037033588,34.47437500022352,6,2018,2,9,delivered
160.0,12.14,utilidades_domesticas,1400.0,8.0,sao paulo,SP,SP,5,"Produto muito bonito, chegou no prazo correto parece um Trofeu, qualidade ótimo para presente",2.4181134258396924,1.1204745369032025,8,2018,0,11,delivered
29.9,12.69,esporte_lazer,2600.0,2.0,sao paulo,SP,SP,5,,6.205775463022292,13.43576388899237,5,2017,3,8,delivered
13.99,7.39,beleza_saude,200.0,2.0,sao paulo,SP,SP,5,Chegou antes do prazo e o produto é exatamente pedido o que eu queria,3.8660069443285465,-1.8116550925187767,7,2018,1,22,delivered
535.9,18.5,beleza_saude,593.0,3.0,bombinhas,SC,RS,4,,7.690219907555729,16.38309027766809,3,2018,4,22,delivered
69.9,26.11,moveis_decoracao,12300.0,2.0,borda da mata,MG,SP,4,,9.969120370224118,18.149513889104128,2,2018,2,21,delivered
589.9,20.0,beleza_saude,2550.0,1.0,sao paulo,SP,BA,4,,12.739189814776182,27.270613425876945,1,2017,6,23,delivered
27.3,15.1,,200.0,,limeira,SP,MG,5,,12.925069444347173,16.1550925928168,1,2018,6,22,delivered
235.99,17.41,relogios_presentes,4338.0,2.0,barueri,SP,MG,2,,11.191261574160308,12.154201388824731,7,2017,6,15,delivered
19.9,8.72,utilidades_domesticas,350.0,1.0,jundiai,SP,SP,1,"Boa noite, não recebi o escorredor de louça, Continuo no aguardo",3.212256944272667,15.282627314794809,9,2017,3,12,delivered
25.99,14.1,moveis_decoracao,500.0,1.0,sao paulo,SP,RJ,1,Não recebi o produto até a presente data na minha residência. ,56.026481481269,-32.901990740559995,11,2017,2,21,delivered
18.5,7.94,perfumaria,100.0,2.0,rio de janeiro,RJ,RJ,5,,1.153842592611909,16.324386573862284,2,2018,4,12,delivered
49.9,16.54,papelaria,450.0,2.0,belo horizonte,MG,DF,5,Recebi antes do prazo ,5.945995370391756,7.380057870410383,8,2018,3,16,delivered
49.9,16.54,papelaria,450.0,2.0,belo horizonte,MG,DF,5,Recebi antes do prazo ,5.945995370391756,7.380057870410383,8,2018,3,16,delivered
84.99,26.9,beleza_saude,2200.0,1.0,praia grande,SP,RJ,5,"Muito bom
",6.7378124999813735,27.278680555522442,7,2018,5,23,delivered
199.0,32.79,cool_stuff,7750.0,5.0,blumenau,SC,RJ,4,Espero que seja sempre assim rápido e produto perfeito.,12.237106481567025,6.994143518619239,5,2018,3,18,delivered
109.9,25.61,cama_mesa_banho,1975.0,2.0,ibitinga,SP,RJ,3,O prazo de entrega é muito longo,54.82819444453344,-32.571087962947786,11,2017,0,17,delivered
29.99,8.11,fashion_bolsas_e_acessorios,150.0,5.0,porto alegre,RS,RS,5,,1.307893518358469,16.294687500223517,9,2017,5,9,delivered
59.9,14.13,utilidades_domesticas,7000.0,1.0,jundiai,SP,SP,5,,1.4615509258583188,10.571817129850388,6,2017,2,23,delivered
42.9,15.1,utilidades_domesticas,267.0,3.0,louveira,SP,RJ,1,COMO VOU AVALIAR UM PRODUTO QUE NÃO RECEBI,15.18500000005588,13.375659722369164,1,2018,2,10,delivered
43.0,23.02,relogios_presentes,250.0,4.0,sao paulo,SP,RN,5,"Serviços todos ótimos, porém achei só o fecho um pouco frágil!!recomendo! ",7.804988426156342,15.427997685037553,8,2018,1,18,delivered
12.5,14.1,esporte_lazer,150.0,1.0,santo andre,SP,RJ,4,Recomendado,21.3151273149997,0.35759259248152375,1,2018,2,7,delivered
12.5,14.1,esporte_lazer,150.0,1.0,santo andre,SP,RJ,4,Recomendado,21.3151273149997,0.35759259248152375,1,2018,2,7,delivered
179.9,8.41,cama_mesa_banho,2050.0,1.0,piracicaba,SP,SP,3,Só foi entregue 1 dos 3 produtos q comprei ,6.406793981324881,26.99545138888061,3,2018,6,14,delivered
119.99,28.05,moveis_escritorio,10475.0,1.0,itaquaquecetuba,SP,SP,3,Só foi entregue 1 dos 3 produtos q comprei ,6.406793981324881,26.99545138888061,3,2018,6,14,delivered
149.99,32.05,moveis_escritorio,10975.0,1.0,itaquaquecetuba,SP,SP,3,Só foi entregue 1 dos 3 produtos q comprei ,6.406793981324881,26.99545138888061,3,2018,6,14,delivered
59.9,18.25,instrumentos_musicais,2750.0,3.0,londrina,PR,SP,4,"O suporte veio com um parafuso espanado... Como eu precisava urgente, não devolvi pra trocar e meu primo soldou... Mas fora isso,o suporte é ótimo!!!",11.823599536903203,9.21768518537283,3,2018,3,23,delivered
69.99,14.58,cama_mesa_banho,1350.0,2.0,ibitinga,SP,SP,5,Muito bom entregou até antes do dia 😆😆😆😆😆😆😆😆,5.863483796361834,8.21112268511206,5,2018,2,22,delivered
129.6,25.4,moveis_escritorio,2600.0,1.0,itaquaquecetuba,SP,PB,1,mais ou menos o produto veio faltando uma peca,27.84924768516794,14.535474536940455,3,2017,4,14,delivered
31.8,39.28,moveis_decoracao,3450.0,1.0,sao paulo,SP,RJ,4,"Acho que deveria enviar o produtos juntos, já que na nota fiscal estavamos juntas e são as mesmas luminarias e não enviar quase uma semana depois de diferenca.",6.9696527775377035,13.116898148320615,11,2017,5,21,delivered
31.8,39.28,moveis_decoracao,3450.0,1.0,sao paulo,SP,RJ,4,"Acho que deveria enviar o produtos juntos, já que na nota fiscal estavamos juntas e são as mesmas luminarias e não enviar quase uma semana depois de diferenca.",6.9696527775377035,13.116898148320615,11,2017,5,21,delivered
129.9,12.0,cama_mesa_banho,1550.0,1.0,piracicaba,SP,SP,1,Produto não corresponde às expectativas ,1.772141203749925,16.298576388973743,4,2018,3,22,delivered
99.9,13.72,cama_mesa_banho,1500.0,2.0,ibitinga,SP,SP,4,,5.3971180552616715,13.166944444645196,7,2017,0,10,delivered
146.0,15.77,relogios_presentes,444.0,3.0,pradopolis,SP,PR,5,,7.350763889029622,15.14331018505618,11,2017,2,12,delivered
39.49,8.27,beleza_saude,100.0,10.0,praia grande,SP,SP,5,"Chegou antes do prazo , super recomendo ",5.034004629589617,6.3348842593841255,10,2017,4,15,delivered
39.49,8.27,beleza_saude,100.0,10.0,praia grande,SP,SP,5,"Chegou antes do prazo , super recomendo ",5.034004629589617,6.3348842593841255,10,2017,4,15,delivered
54.99,13.6,cama_mesa_banho,300.0,1.0,tres rios,RJ,RJ,5,,11.242962962947786,10.118784722406417,7,2018,0,15,delivered
89.99,16.39,beleza_saude,250.0,3.0,santo andre,SP,MG,1,Nao gostei do produto pois veio com detalhes no acabamento e com sinais que ja foram uzados,9.075706018134952,23.321481481660157,12,2017,6,14,delivered
129.9,11.77,esporte_lazer,1150.0,4.0,rio de janeiro,RJ,RJ,5,,3.4543634257279336,21.16061342600733,3,2018,1,9,delivered
69.9,19.98,beleza_saude,2267.0,3.0,colombo,PR,SP,5,,6.346701388712972,21.37710648169741,1,2018,2,6,delivered
80.9,12.7,informatica_acessorios,207.0,1.0,maringa,PR,PR,5,,8.029189814813435,21.202997685410082,2,2018,2,18,delivered
80.9,12.7,informatica_acessorios,207.0,1.0,maringa,PR,PR,5,,8.029189814813435,21.202997685410082,2,2018,2,18,delivered
110.32,8.03,beleza_saude,150.0,1.0,hortolandia,SP,SP,5,,8.199108796194196,3.231516203843057,7,2018,3,13,delivered
91.99,13.5,esporte_lazer,500.0,1.0,sao paulo,SP,SP,5,,2.7526736110448837,16.57818287052214,3,2017,2,16,delivered
91.99,13.5,esporte_lazer,500.0,1.0,sao paulo,SP,SP,5,,2.7526736110448837,16.57818287052214,3,2017,2,16,delivered
91.99,6.75,esporte_lazer,600.0,1.0,sao paulo,SP,SP,5,,2.7526736110448837,16.57818287052214,3,2017,2,16,delivered
25.0,13.47,utilidades_domesticas,250.0,6.0,santa rita do sapucai,MG,MG,5,eu adorei... e é uma gracinha... estava doida p chegar..é um produto de otima qualidade,7.3602893515489995,19.125844907481223,6,2018,5,12,delivered
259.9,53.01,malas_acessorios,18400.0,1.0,santa barbara d´oeste,SP,SP,5,,7.1949305552989244,10.289039351977408,7,2017,1,12,delivered
39.0,12.79,papelaria,5650.0,2.0,campo limpo paulista,SP,SP,5,Superou minha expectativa!,8.120590277947485,10.205555555410683,5,2018,3,16,delivered
104.9,4.39,esporte_lazer,350.0,5.0,cotia,SP,SP,1,Recebi um produto velho ,6.1083333333954215,7.113344907294959,7,2018,4,18,delivered
110.32,12.53,beleza_saude,150.0,1.0,hortolandia,SP,SP,1,Recebi um produto velho ,6.1083333333954215,7.113344907294959,7,2018,4,18,delivered
7.0,15.79,perfumaria,200.0,1.0,betim,MG,GO,2,,8.107731481548399,19.175208333414048,9,2017,3,17,delivered
49.9,17.6,ferramentas_jardim,1750.0,2.0,sao jose do rio preto,SP,MG,1,Minha opinião é que se comprei o produto ele tinha que ser entregue e não receber um notificação que seria dado como entregue o produto...então a empresa me devolva meu dinheiro!!,28.28337962925434,-6.002696759067476,2,2018,3,17,delivered
